group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
event_deserialization,,65536,65536,bytes,199603.0,ns,25
event_deserialization,,65536,65536,bytes,349902.0,ns,50
event_deserialization,,65536,65536,bytes,482104.0,ns,75
event_deserialization,,65536,65536,bytes,628704.0,ns,100
event_deserialization,,65536,65536,bytes,908107.0,ns,125
event_deserialization,,65536,65536,bytes,1002208.0,ns,150
event_deserialization,,65536,65536,bytes,1187011.0,ns,175
event_deserialization,,65536,65536,bytes,1285910.0,ns,200
event_deserialization,,65536,65536,bytes,1442409.0,ns,225
event_deserialization,,65536,65536,bytes,1583413.0,ns,250
event_deserialization,,65536,65536,bytes,1688514.0,ns,275
event_deserialization,,65536,65536,bytes,2112315.0,ns,300
event_deserialization,,65536,65536,bytes,2178614.0,ns,325
event_deserialization,,65536,65536,bytes,2335619.0,ns,350
event_deserialization,,65536,65536,bytes,2917823.0,ns,375
event_deserialization,,65536,65536,bytes,2688820.0,ns,400
event_deserialization,,65536,65536,bytes,2773217.0,ns,425
event_deserialization,,65536,65536,bytes,3107324.0,ns,450
event_deserialization,,65536,65536,bytes,3165829.0,ns,475
event_deserialization,,65536,65536,bytes,3246824.0,ns,500
event_deserialization,,65536,65536,bytes,3364525.0,ns,525
event_deserialization,,65536,65536,bytes,3602930.0,ns,550
event_deserialization,,65536,65536,bytes,3751427.0,ns,575
event_deserialization,,65536,65536,bytes,3916133.0,ns,600
event_deserialization,,65536,65536,bytes,4008227.0,ns,625
event_deserialization,,65536,65536,bytes,4185526.0,ns,650
event_deserialization,,65536,65536,bytes,4339033.0,ns,675
event_deserialization,,65536,65536,bytes,4973333.0,ns,700
event_deserialization,,65536,65536,bytes,4732930.0,ns,725
event_deserialization,,65536,65536,bytes,5086039.0,ns,750
event_deserialization,,65536,65536,bytes,5282240.0,ns,775
event_deserialization,,65536,65536,bytes,5339034.0,ns,800
event_deserialization,,65536,65536,bytes,5297340.0,ns,825
event_deserialization,,65536,65536,bytes,5525043.0,ns,850
event_deserialization,,65536,65536,bytes,5787941.0,ns,875
event_deserialization,,65536,65536,bytes,5795951.0,ns,900
event_deserialization,,65536,65536,bytes,6435046.0,ns,925
event_deserialization,,65536,65536,bytes,6659350.0,ns,950
event_deserialization,,65536,65536,bytes,6614950.0,ns,975
event_deserialization,,65536,65536,bytes,6718551.0,ns,1000
event_deserialization,,65536,65536,bytes,7104260.0,ns,1025
event_deserialization,,65536,65536,bytes,7272660.0,ns,1050
event_deserialization,,65536,65536,bytes,7343560.0,ns,1075
event_deserialization,,65536,65536,bytes,7565049.0,ns,1100
event_deserialization,,65536,65536,bytes,8133670.0,ns,1125
event_deserialization,,65536,65536,bytes,8101962.0,ns,1150
event_deserialization,,65536,65536,bytes,8478563.0,ns,1175
event_deserialization,,65536,65536,bytes,8811779.0,ns,1200
event_deserialization,,65536,65536,bytes,8842775.0,ns,1225
event_deserialization,,65536,65536,bytes,9170863.0,ns,1250
event_deserialization,,65536,65536,bytes,9192570.0,ns,1275
event_deserialization,,65536,65536,bytes,10618476.0,ns,1300
event_deserialization,,65536,65536,bytes,9318565.0,ns,1325
event_deserialization,,65536,65536,bytes,9806375.0,ns,1350
event_deserialization,,65536,65536,bytes,10051276.0,ns,1375
event_deserialization,,65536,65536,bytes,9696676.0,ns,1400
event_deserialization,,65536,65536,bytes,10035087.0,ns,1425
event_deserialization,,65536,65536,bytes,10293178.0,ns,1450
event_deserialization,,65536,65536,bytes,10710473.0,ns,1475
event_deserialization,,65536,65536,bytes,10902977.0,ns,1500
event_deserialization,,65536,65536,bytes,11135186.0,ns,1525
event_deserialization,,65536,65536,bytes,11217286.0,ns,1550
event_deserialization,,65536,65536,bytes,11318989.0,ns,1575
event_deserialization,,65536,65536,bytes,11808980.0,ns,1600
event_deserialization,,65536,65536,bytes,11618191.0,ns,1625
event_deserialization,,65536,65536,bytes,12052282.0,ns,1650
event_deserialization,,65536,65536,bytes,12423197.0,ns,1675
event_deserialization,,65536,65536,bytes,12209396.0,ns,1700
event_deserialization,,65536,65536,bytes,11644285.0,ns,1725
event_deserialization,,65536,65536,bytes,12324793.0,ns,1750
event_deserialization,,65536,65536,bytes,11590200.0,ns,1775
event_deserialization,,65536,65536,bytes,12452803.0,ns,1800
event_deserialization,,65536,65536,bytes,13001887.0,ns,1825
event_deserialization,,65536,65536,bytes,12802204.0,ns,1850
event_deserialization,,65536,65536,bytes,13786615.0,ns,1875
event_deserialization,,65536,65536,bytes,14378621.0,ns,1900
event_deserialization,,65536,65536,bytes,13809119.0,ns,1925
event_deserialization,,65536,65536,bytes,13776597.0,ns,1950
event_deserialization,,65536,65536,bytes,13795195.0,ns,1975
event_deserialization,,65536,65536,bytes,13741097.0,ns,2000
event_deserialization,,65536,65536,bytes,14132615.0,ns,2025
event_deserialization,,65536,65536,bytes,14663609.0,ns,2050
event_deserialization,,65536,65536,bytes,15246404.0,ns,2075
event_deserialization,,65536,65536,bytes,16843226.0,ns,2100
event_deserialization,,65536,65536,bytes,15415512.0,ns,2125
event_deserialization,,65536,65536,bytes,15606905.0,ns,2150
event_deserialization,,65536,65536,bytes,15529317.0,ns,2175
event_deserialization,,65536,65536,bytes,15184202.0,ns,2200
event_deserialization,,65536,65536,bytes,15381126.0,ns,2225
event_deserialization,,65536,65536,bytes,16706920.0,ns,2250
event_deserialization,,65536,65536,bytes,17027521.0,ns,2275
event_deserialization,,65536,65536,bytes,17097518.0,ns,2300
event_deserialization,,65536,65536,bytes,16108821.0,ns,2325
event_deserialization,,65536,65536,bytes,17179222.0,ns,2350
event_deserialization,,65536,65536,bytes,16951129.0,ns,2375
event_deserialization,,65536,65536,bytes,17708520.0,ns,2400
event_deserialization,,65536,65536,bytes,19002661.0,ns,2425
event_deserialization,,65536,65536,bytes,17492529.0,ns,2450
event_deserialization,,65536,65536,bytes,18590048.0,ns,2475
event_deserialization,,65536,65536,bytes,17157734.0,ns,2500
