group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
event_serialization,,16777216,16777216,bytes,60593814.0,ns,6
event_serialization,,16777216,16777216,bytes,56765148.0,ns,6
event_serialization,,16777216,16777216,bytes,55210040.0,ns,6
event_serialization,,16777216,16777216,bytes,57723214.0,ns,6
event_serialization,,16777216,16777216,bytes,60979040.0,ns,6
event_serialization,,16777216,16777216,bytes,56943759.0,ns,6
event_serialization,,16777216,16777216,bytes,55689173.0,ns,6
event_serialization,,16777216,16777216,bytes,59512438.0,ns,6
event_serialization,,16777216,16777216,bytes,54086862.0,ns,6
event_serialization,,16777216,16777216,bytes,58709483.0,ns,6
event_serialization,,16777216,16777216,bytes,61556681.0,ns,6
event_serialization,,16777216,16777216,bytes,58496468.0,ns,6
event_serialization,,16777216,16777216,bytes,57991235.0,ns,6
event_serialization,,16777216,16777216,bytes,54163367.0,ns,6
event_serialization,,16777216,16777216,bytes,61059149.0,ns,6
event_serialization,,16777216,16777216,bytes,59523039.0,ns,6
event_serialization,,16777216,16777216,bytes,53733138.0,ns,6
event_serialization,,16777216,16777216,bytes,53797642.0,ns,6
event_serialization,,16777216,16777216,bytes,51064452.0,ns,6
event_serialization,,16777216,16777216,bytes,54983624.0,ns,6
event_serialization,,16777216,16777216,bytes,54157666.0,ns,6
event_serialization,,16777216,16777216,bytes,52561957.0,ns,6
event_serialization,,16777216,16777216,bytes,52202330.0,ns,6
event_serialization,,16777216,16777216,bytes,53331109.0,ns,6
event_serialization,,16777216,16777216,bytes,53855546.0,ns,6
event_serialization,,16777216,16777216,bytes,51181159.0,ns,6
event_serialization,,16777216,16777216,bytes,55369252.0,ns,6
event_serialization,,16777216,16777216,bytes,52200032.0,ns,6
event_serialization,,16777216,16777216,bytes,51619791.0,ns,6
event_serialization,,16777216,16777216,bytes,49174220.0,ns,6
event_serialization,,16777216,16777216,bytes,56260314.0,ns,6
event_serialization,,16777216,16777216,bytes,53029088.0,ns,6
event_serialization,,16777216,16777216,bytes,53900050.0,ns,6
event_serialization,,16777216,16777216,bytes,56867355.0,ns,6
event_serialization,,16777216,16777216,bytes,53756841.0,ns,6
event_serialization,,16777216,16777216,bytes,53460021.0,ns,6
event_serialization,,16777216,16777216,bytes,55413855.0,ns,6
event_serialization,,16777216,16777216,bytes,52300039.0,ns,6
event_serialization,,16777216,16777216,bytes,51390077.0,ns,6
event_serialization,,16777216,16777216,bytes,53441716.0,ns,6
event_serialization,,16777216,16777216,bytes,52302938.0,ns,6
event_serialization,,16777216,16777216,bytes,52943381.0,ns,6
event_serialization,,16777216,16777216,bytes,58607977.0,ns,6
event_serialization,,16777216,16777216,bytes,54871516.0,ns,6
event_serialization,,16777216,16777216,bytes,53864947.0,ns,6
event_serialization,,16777216,16777216,bytes,52240434.0,ns,6
event_serialization,,16777216,16777216,bytes,51831705.0,ns,6
event_serialization,,16777216,16777216,bytes,51928113.0,ns,6
event_serialization,,16777216,16777216,bytes,53519723.0,ns,6
event_serialization,,16777216,16777216,bytes,53712135.0,ns,6
event_serialization,,16777216,16777216,bytes,55361250.0,ns,6
event_serialization,,16777216,16777216,bytes,54644000.0,ns,6
event_serialization,,16777216,16777216,bytes,54331679.0,ns,6
event_serialization,,16777216,16777216,bytes,53030387.0,ns,6
event_serialization,,16777216,16777216,bytes,55042330.0,ns,6
event_serialization,,16777216,16777216,bytes,50253694.0,ns,6
event_serialization,,16777216,16777216,bytes,48758392.0,ns,6
event_serialization,,16777216,16777216,bytes,55832885.0,ns,6
event_serialization,,16777216,16777216,bytes,54690804.0,ns,6
event_serialization,,16777216,16777216,bytes,52559556.0,ns,6
event_serialization,,16777216,16777216,bytes,53660430.0,ns,6
event_serialization,,16777216,16777216,bytes,56413620.0,ns,6
event_serialization,,16777216,16777216,bytes,57050666.0,ns,6
event_serialization,,16777216,16777216,bytes,58027431.0,ns,6
event_serialization,,16777216,16777216,bytes,51340667.0,ns,6
event_serialization,,16777216,16777216,bytes,53004483.0,ns,6
event_serialization,,16777216,16777216,bytes,54089259.0,ns,6
